epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5939,1.24023,3.11795,1.46094,0.02236,0.84304,0.28963,0.20438,0.87885,3.07479,1.17767,8.574e-05,8.574e-05,8.574e-05
2,81.0947,1.10878,2.82558,1.31271,0.02415,0.92479,0.3727,0.25118,0.97696,2.97723,1.20753,0.000183931,0.000183931,0.000183931
3,120.059,1.07771,2.50699,1.27042,0.02599,0.93413,0.42875,0.30385,1.00702,2.9027,1.22836,0.000280141,0.000280141,0.000280141
4,162.904,1.09664,2.30328,1.27653,0.02674,0.87717,0.46878,0.32316,1.07412,2.86218,1.27964,0.000374371,0.000374371,0.000374371
5,206.283,1.09607,2.01659,1.30399,0.02644,0.87717,0.5064,0.31838,1.15745,2.73076,1.34313,0.00046662,0.00046662,0.00046662
6,245.022,1.123,1.70867,1.33737,0.95917,0.1838,0.60802,0.36864,1.22462,2.5094,1.42023,0.000556888,0.000556888,0.000556888
7,294.418,1.08894,1.46712,1.31578,0.74791,0.37118,0.58391,0.35698,1.26852,2.18293,1.5532,0.000645176,0.000645176,0.000645176
8,327.371,1.08026,1.35203,1.31499,0.80752,0.35409,0.5183,0.33274,1.31439,2.17642,1.61331,0.000731484,0.000731484,0.000731484
9,363.955,1.06783,1.28924,1.30169,0.60616,0.36866,0.5524,0.3389,1.30485,2.10006,1.67904,0.00081581,0.00081581,0.00081581
10,397.401,1.08237,1.26698,1.3191,0.71567,0.55414,0.63482,0.38131,1.33674,1.9285,1.63422,0.000898157,0.000898157,0.000898157
11,430.763,1.05545,1.16904,1.25391,0.58318,0.64688,0.64895,0.37504,1.28927,1.71697,1.61417,0.000978522,0.000978522,0.000978522
12,463.26,1.0203,1.12991,1.25969,0.46085,0.46046,0.54128,0.31268,1.43838,2.10309,1.78068,0.00105691,0.00105691,0.00105691
13,497.266,1.08293,1.22325,1.31633,0.51711,0.50146,0.57487,0.37938,1.29499,1.94259,1.65419,0.00113331,0.00113331,0.00113331
14,530.678,1.02238,1.09869,1.27172,0.55732,0.64761,0.60836,0.36242,1.35322,1.80794,1.83475,0.00120774,0.00120774,0.00120774
15,563.791,1.02681,1.05027,1.25625,0.56589,0.49518,0.54178,0.30251,1.40209,1.90974,1.78818,0.00123094,0.00123094,0.00123094
16,597.855,1.00231,1.03346,1.21917,0.47777,0.55171,0.50588,0.27335,1.43331,1.93839,1.81676,0.00121679,0.00121679,0.00121679
17,633.007,0.99743,1.01783,1.23382,0.65519,0.5341,0.55158,0.31626,1.42901,1.77906,1.86611,0.00120265,0.00120265,0.00120265
18,673.163,1.00288,1.07356,1.23052,0.53773,0.46454,0.44934,0.25118,1.67012,1.95538,1.93223,0.0011885,0.0011885,0.0011885
19,709.058,0.97702,0.95605,1.19489,0.58929,0.59779,0.54665,0.29773,1.51515,1.71567,1.81633,0.00117435,0.00117435,0.00117435
20,743.628,1.01475,1.00112,1.21767,0.72827,0.69853,0.67314,0.35821,1.4005,1.5824,1.69525,0.00116021,0.00116021,0.00116021
